Junior,Middle,Senior,Team Lead,Офис,Удалённо,Гибрид
,55000,100000,,1,1,
,100000,150000,,1,2,
,75000,200000,,1,1,
,54000,200000,,1,1,
,80000,90000,,1,2,
,60000,270000,,1,2,
,70000,130000,,2,1,
,100000,130000,,1,1,
,120000,100000,,1,2,
,40000,200000,,1,2,
,20000,70000,,1,2,
,40000,85000,,1,2,
,50000,60000,,1,2,
,60000,50000,,1,1,
,250000,70000,,1,1,
,120000,50000,,1,2,
,70000,90000,,1,2,
,40000,150000,,1,1,
,100000,130000,,1,2,
,50000,150000,,1,1,
,90000,120000,,1,2,
,85000,100000,,1,2,
,50000,70000,,1,2,
,80000,150000,,1,2,
,120000,40000,,1,1,
,50000,100000,,1,1,
,140000,110000,,1,2,
,50000,120000,,2,1,
,80000,80000,,1,2,
,60000,90000,,1,2,
,50000,150000,,,1,
,40000,60000,,,2,
,100000,100000,,,2,
,80000,170000,,,2,
,60000,150000,,,2,
,40000,80000,,,2,
,70000,110000,,,2,
,60000,160000,,,2,
,140000,140000,,,1,
,40000,100000,,,2,
,85000,150000,,,1,
,100000,120000,,,1,
,120000,150000,,,2,
,100000,120000,,,1,
,80000,100000,,,1,
,80000,200000,,,2,
,90000,100000,,,2,
,90000,60000,,,2,
,100000,280000,,,2,
,30000,150000,,,2,
,80000,60000,,,1,
,100000,180000,,,2,
,50000,100000,,,2,
,70000,100000,,,2,
,140000,120000,,,2,
,70000,120000,,,2,
,70000,110000,,,2,
,90000,100000,,,2,
,80000,60000,,,1,
,60000,100000,,,1,
,80000,90000,,,1,
,80000,150000,,,1,
,65000,160000,,,2,
,80000,100000,,,2,
,40000,100000,,,1,
,50000,170000,,,2,
,35000,90000,,,2,
,80000,80000,,,2,
,100000,180000,,,1,
,60000,100000,,,2,
,90000,120000,,,2,
,60000,80000,,,2,
,80000,200000,,,2,
,160000,100000,,,2,
,200000,60000,,,2,
,60000,90000,,,2,
,55000,180000,,,2,
,150000,150000,,,2,
,80000,120000,,,1,
,80000,400000,,,2,
,80000,200000,,,2,
,120000,160000,,,2,
,50000,650000,,,2,
,200000,220000,,,2,
,110000,170000,,,2,
,100000,120000,,,2,
,50000,60000,,,2,
,75000,100000,,,1,
,90000,150000,,,2,
,100000,90000,,,2,
,50000,200000,,,2,
,60000,100000,,,2,
,80000,160000,,,2,
,70000,300000,,,1,
,100000,150000,,,2,
,70000,100000,,,2,
,60000,170000,,,2,
,80000,80000,,,2,
,80000,180000,,,,
,80000,220000,,,,
