Junior,Middle,Senior,Офис,Удалённо,Гибрид
100000,45000,90000,2,1,
100000,60000,70000,2,1,
60000,90000,100000,1,2,
30000,65000,65000,1,2,
25000,65000,60000,2,1,
70000,50000,70000,2,1,
60000,70000,160000,2,1,
50000,40000,100000,1,3,
50000,65000,70000,3,3,
120000,80000,40000,3,2,
45000,100000,100000,1,3,
90000,50000,90000,2,3,
20000,70000,90000,1,3,
50000,100000,80000,1,3,
80000,85000,100000,1,2,
30000,120000,170000,2,1,
65000,50000,60000,2,2,
20000,100000,120000,1,2,
40000,50000,70000,1,2,
35000,70000,130000,2,1,
40000,130000,100000,1,3,
60000,70000,120000,1,3,
50000,60000,85000,1,1,
45000,100000,150000,1,2,
90000,50000,40000,1,1,
50000,60000,65000,1,1,
30000,100000,40000,1,1,
50000,150000,200000,1,1,
40000,50000,25000,1,1,
55000,80000,30000,1,1,
50000,45000,40000,1,1,
40000,50000,80000,1,1,
,80000,93000,1,1,
,45000,40000,,1,
,40000,50000,,1,
,50000,120000,,1,
,40000,90000,,1,
,100000,,,1,
,65000,,,1,
,30000,,,1,
,70000,,,1,
,35000,,,1,
,80000,,,1,
,70000,,,1,
,40000,,,1,
,65000,,,1,
,50000,,,1,
,75000,,,1,
,60000,,,1,
,90000,,,1,
,50000,,,1,
,40000,,,,
